event_id,shipment_id,employee_id,event_type,location,notes,occurred_at
71,14,47,departed_warehouse,Kyzylorda,,2026-03-16 13:40:00
72,14,37,out_for_delivery,Almaty,,2026-03-17 18:40:00
73,14,6,delivered,Almaty,,2026-03-17 21:40:00
74,15,13,created,Uralsk,,2026-07-06 02:59:00
75,16,24,created,Uralsk,,2025-10-23 00:08:00
76,16,24,picked_up,Uralsk,,2025-10-23 20:08:00
77,16,33,out_for_delivery,Oskemen,,2025-10-24 18:08:00
78,16,3,failed_attempt,Shymkent,,2025-10-24 22:08:00
79,16,31,returned,Aktau,,2025-10-26 02:08:00
80,17,41,created,Kostanay,,2026-06-13 03:37:00
81,17,25,picked_up,Shymkent,,2026-06-14 08:37:00
82,17,3,arrived_warehouse,Atyrau,,2026-06-14 18:37:00
83,17,13,departed_warehouse,Almaty,,2026-06-15 00:37:00
84,17,10,out_for_delivery,Oskemen,,2026-06-15 16:37:00
85,17,33,delivered,Uralsk,,2026-06-16 08:37:00
86,18,25,created,Kyzylorda,,2026-09-14 08:07:00
87,18,23,picked_up,Uralsk,,2026-09-15 13:07:00
88,18,3,arrived_warehouse,Karaganda,,2026-09-16 01:07:00
89,18,23,departed_warehouse,Kyzylorda,,2026-09-16 06:07:00
90,18,48,out_for_delivery,Semey,,2026-09-16 17:07:00
91,18,35,delivered,Karaganda,,2026-09-17 22:07:00
92,19,31,created,Taraz,,2025-12-21 08:41:00
93,19,21,picked_up,Karaganda,,2025-12-21 20:41:00
94,19,6,arrived_warehouse,Taraz,,2025-12-22 23:41:00
95,19,48,departed_warehouse,Kostanay,,2025-12-23 19:41:00
96,19,12,out_for_delivery,Oskemen,,2025-12-23 23:41:00
97,19,3,delivered,Petropavl,,2025-12-24 07:41:00
98,20,33,created,Kyzylorda,,2023-08-07 15:19:00
99,20,50,picked_up,Karaganda,,2023-08-08 16:19:00
100,20,19,arrived_warehouse,Pavlodar,,2023-08-09 15:19:00
101,20,9,departed_warehouse,Semey,,2023-08-10 01:19:00
102,20,39,out_for_delivery,Pavlodar,,2023-08-11 03:19:00
103,20,31,delivered,Uralsk,,2023-08-11 23:19:00
104,21,9,created,Uralsk,,2026-12-05 11:18:00
105,21,42,picked_up,Oskemen,,2026-12-06 13:18:00
106,21,29,arrived_warehouse,Petropavl,,2026-12-07 04:18:00
107,21,25,departed_warehouse,Astana,,2026-12-07 19:18:00
108,21,35,out_for_delivery,Shymkent,,2026-12-08 19:18:00
109,21,8,delivered,Shymkent,,2026-12-09 09:18:00
110,22,46,created,Petropavl,Social case expert stop receive catch.,2026-01-19 17:02:00
111,22,3,picked_up,Oskemen,,2026-01-20 19:02:00
112,22,14,arrived_warehouse,Uralsk,,2026-01-21 15:02:00
113,22,9,departed_warehouse,Aktau,,2026-01-21 19:02:00
114,22,47,out_for_delivery,Atyrau,,2026-01-22 05:02:00
115,22,50,delivered,Taraz,,2026-01-23 03:02:00
116,23,46,created,Shymkent,,2026-02-07 17:54:00
117,23,36,picked_up,Oskemen,,2026-02-07 21:54:00
118,23,34,arrived_warehouse,Shymkent,,2026-02-08 17:54:00
119,23,14,departed_warehouse,Pavlodar,,2026-02-09 04:54:00
120,23,24,out_for_delivery,Astana,,2026-02-09 21:54:00
121,23,13,delivered,Almaty,,2026-02-11 02:54:00
122,24,21,created,Uralsk,,2025-08-30 07:25:00
123,24,35,picked_up,Taraz,,2025-08-31 00:25:00
124,24,24,arrived_warehouse,Aktau,,2025-08-31 11:25:00
125,24,7,departed_warehouse,Uralsk,,2025-09-01 04:25:00
126,24,49,out_for_delivery,Petropavl,,2025-09-01 22:25:00
127,24,24,delivered,Pavlodar,,2025-09-02 07:25:00
128,25,43,created,Almaty,,2025-05-04 21:02:00
129,25,9,picked_up,Petropavl,,2025-05-05 13:02:00
130,25,46,arrived_warehouse,Shymkent,Large accept bad eight strong nature road.,2025-05-05 18:02:00
131,25,30,departed_warehouse,Pavlodar,Institution simply down business draw police performance.,2025-05-06 13:02:00
132,25,43,out_for_delivery,Kyzylorda,,2025-05-07 12:02:00
133,25,43,delivered,Semey,Book toward others administration.,2025-05-08 06:02:00
134,26,44,created,Kyzylorda,,2026-11-20 20:17:00
135,27,6,created,Aktau,,2026-12-24 12:50:00
136,27,4,picked_up,Astana,,2026-12-25 02:50:00
137,27,5,arrived_warehouse,Pavlodar,,2026-12-26 07:50:00
138,27,39,departed_warehouse,Oskemen,,2026-12-27 05:50:00
139,27,2,out_for_delivery,Taraz,,2026-12-27 18:50:00
140,27,32,delivered,Aktobe,,2026-12-28 11:50:00
141,28,27,created,Oskemen,,2024-05-10 01:55:00
142,28,36,picked_up,Kyzylorda,,2024-05-11 03:55:00
143,28,37,arrived_warehouse,Aktau,,2024-05-11 13:55:00
144,28,11,departed_warehouse,Shymkent,,2024-05-12 04:55:00
145,28,32,out_for_delivery,Shymkent,Model guess well name.,2024-05-12 15:55:00
146,28,18,delivered,Oskemen,,2024-05-13 07:55:00
147,29,21,created,Karaganda,,2023-08-05 06:20:00
148,29,32,picked_up,Atyrau,,2023-08-06 05:20:00
149,29,25,arrived_warehouse,Karaganda,,2023-08-06 18:20:00
150,29,24,departed_warehouse,Astana,,2023-08-07 09:20:00
151,29,38,out_for_delivery,Aktau,,2023-08-07 18:20:00
152,30,42,created,Oskemen,,2023-05-13 08:36:00
153,30,28,picked_up,Astana,Never hospital like player wonder effect administration.,2023-05-13 21:36:00
154,30,15,arrived_warehouse,Aktau,,2023-05-14 08:36:00
155,30,38,departed_warehouse,Kostanay,,2023-05-15 04:36:00
156,30,24,out_for_delivery,Oskemen,,2023-05-15 21:36:00
157,30,38,delivered,Kostanay,,2023-05-16 21:36:00
158,31,12,created,Pavlodar,,2024-12-02 13:06:00
159,31,8,picked_up,Karaganda,,2024-12-03 06:06:00
160,31,34,arrived_warehouse,Taraz,,2024-12-04 00:06:00
161,31,40,departed_warehouse,Oskemen,,2024-12-04 15:06:00
162,31,23,out_for_delivery,Petropavl,,2024-12-05 05:06:00
163,31,44,delivered,Kostanay,,2024-12-05 13:06:00
164,32,18,created,Uralsk,,2025-01-26 22:32:00
165,32,35,picked_up,Petropavl,,2025-01-27 12:32:00
166,32,47,arrived_warehouse,Semey,,2025-01-28 15:32:00
167,32,7,departed_warehouse,Kostanay,,2025-01-29 07:32:00
168,32,16,out_for_delivery,Karaganda,,2025-01-30 10:32:00
169,33,24,created,Semey,,2026-04-18 15:32:00
170,33,38,picked_up,Almaty,,2026-04-19 04:32:00
171,33,47,arrived_warehouse,Astana,,2026-04-20 10:32:00
172,33,41,departed_warehouse,Taraz,,2026-04-21 03:32:00
173,33,5,out_for_delivery,Uralsk,,2026-04-22 09:32:00
174,34,38,created,Aktobe,,2024-11-20 15:13:00
175,34,1,picked_up,Almaty,,2024-11-21 08:13:00
176,34,8,arrived_warehouse,Petropavl,,2024-11-22 13:13:00
177,34,31,departed_warehouse,Astana,,2024-11-22 20:13:00
178,34,47,out_for_delivery,Uralsk,,2024-11-23 01:13:00
179,34,24,delivered,Kyzylorda,,2024-11-23 14:13:00
180,35,43,created,Kyzylorda,,2026-05-24 15:49:00
181,35,39,picked_up,Aktau,,2026-05-25 10:49:00
182,35,19,arrived_warehouse,Taraz,Card good full poor store range.,2026-05-26 01:49:00
183,35,16,departed_warehouse,Semey,,2026-05-27 05:49:00
184,35,32,out_for_delivery,Taraz,,2026-05-27 15:49:00
185,35,1,delivered,Pavlodar,,2026-05-28 10:49:00
186,36,27,created,Oskemen,,2025-08-14 15:40:00
187,36,41,picked_up,Aktau,,2025-08-14 20:40:00
188,36,18,arrived_warehouse,Astana,,2025-08-15 03:40:00
189,36,14,departed_warehouse,Uralsk,,2025-08-15 22:40:00
190,36,26,out_for_delivery,Atyrau,,2025-08-16 11:40:00
191,37,4,created,Semey,,2023-06-16 23:31:00
192,38,42,created,Oskemen,,2025-11-08 18:51:00
193,38,27,picked_up,Kyzylorda,,2025-11-09 04:51:00
194,38,5,arrived_warehouse,Atyrau,,2025-11-09 15:51:00
195,38,44,departed_warehouse,Kyzylorda,Place specific as simply leader fall analysis.,2025-11-10 10:51:00
196,38,34,out_for_delivery,Almaty,,2025-11-10 20:51:00
197,39,30,created,Kostanay,Though firm financial huge spring.,2023-01-14 06:26:00
198,39,33,picked_up,Shymkent,,2023-01-14 12:26:00
199,39,5,arrived_warehouse,Atyrau,,2023-01-15 03:26:00
200,39,43,departed_warehouse,Shymkent,,2023-01-15 19:26:00
201,39,21,out_for_delivery,Kyzylorda,,2023-01-16 06:26:00
202,39,48,delivered,Pavlodar,,2023-01-17 07:26:00
203,40,9,created,Astana,Son join hundred keep.,2025-06-30 22:15:00
204,40,50,picked_up,Aktobe,,2025-07-02 03:15:00
205,40,26,arrived_warehouse,Pavlodar,,2025-07-03 08:15:00
206,40,6,departed_warehouse,Atyrau,,2025-07-04 07:15:00
207,40,5,out_for_delivery,Almaty,,2025-07-05 12:15:00
208,41,18,created,Semey,,2025-07-31 00:13:00
209,42,31,created,Aktau,,2025-08-30 22:24:00
210,42,37,cancelled,Aktau,,2025-08-31 12:24:00
211,43,39,created,Aktobe,Risk bad own state.,2025-08-22 01:02:00
212,44,3,created,Shymkent,,2024-10-15 11:54:00
213,44,40,picked_up,Aktobe,,2024-10-16 15:54:00
214,44,32,arrived_warehouse,Shymkent,,2024-10-16 21:54:00
215,44,16,departed_warehouse,Pavlodar,,2024-10-17 02:54:00
216,44,41,out_for_delivery,Kyzylorda,,2024-10-17 10:54:00
217,44,46,delivered,Taraz,,2024-10-18 15:54:00
218,45,7,created,Almaty,,2022-12-25 22:42:00
219,45,32,picked_up,Shymkent,Family bill foreign fast knowledge response coach.,2022-12-26 18:42:00
220,45,28,arrived_warehouse,Astana,,2022-12-26 21:42:00
221,45,41,departed_warehouse,Atyrau,,2022-12-27 21:42:00
222,45,2,out_for_delivery,Aktobe,,2022-12-28 03:42:00
223,45,6,delivered,Semey,,2022-12-28 15:42:00
224,46,34,created,Oskemen,,2024-01-05 02:35:00
225,46,31,picked_up,Atyrau,,2024-01-06 02:35:00
226,46,20,arrived_warehouse,Astana,,2024-01-06 20:35:00
227,46,46,departed_warehouse,Almaty,,2024-01-08 02:35:00
228,46,37,out_for_delivery,Taraz,,2024-01-08 21:35:00
229,46,8,delivered,Uralsk,,2024-01-09 04:35:00
230,47,35,created,Kyzylorda,,2026-07-07 05:49:00
231,47,17,picked_up,Oskemen,,2026-07-07 21:49:00
232,47,39,arrived_warehouse,Semey,Well central parent sit.,2026-07-08 18:49:00
233,47,26,departed_warehouse,Shymkent,,2026-07-09 05:49:00
234,47,45,out_for_delivery,Oskemen,Call door population.,2026-07-10 05:49:00
235,47,45,delivered,Aktobe,Him note painting quickly we head.,2026-07-10 18:49:00
236,48,12,created,Petropavl,,2026-11-26 04:23:00
237,48,23,cancelled,Pavlodar,,2026-11-27 00:23:00
238,49,46,created,Kostanay,,2026-03-16 23:16:00
239,50,13,created,Pavlodar,,2026-10-12 05:37:00
240,50,44,picked_up,Aktau,,2026-10-12 15:37:00
241,50,43,arrived_warehouse,Pavlodar,,2026-10-13 09:37:00
242,50,11,departed_warehouse,Petropavl,,2026-10-14 15:37:00
243,50,12,out_for_delivery,Karaganda,Off morning huge power.,2026-10-15 11:37:00
244,50,48,delivered,Karaganda,,2026-10-15 18:37:00
245,51,21,created,Taraz,Whether ago control military trial.,2024-09-17 17:31:00
246,51,18,picked_up,Aktobe,,2024-09-18 10:31:00
247,51,37,arrived_warehouse,Uralsk,,2024-09-18 18:31:00
248,51,49,departed_warehouse,Uralsk,Energy employee land you.,2024-09-19 22:31:00
249,51,28,out_for_delivery,Taraz,,2024-09-20 20:31:00
250,52,3,created,Oskemen,,2023-01-27 13:23:00
251,52,50,picked_up,Aktau,,2023-01-28 00:23:00
252,52,4,arrived_warehouse,Taraz,,2023-01-28 22:23:00
253,52,2,departed_warehouse,Almaty,,2023-01-30 03:23:00
254,52,29,out_for_delivery,Oskemen,,2023-01-30 19:23:00
255,52,31,delivered,Kostanay,,2023-01-31 06:23:00
256,53,19,created,Shymkent,Really your customer career available.,2026-05-21 08:12:00
257,53,14,picked_up,Kostanay,,2026-05-22 02:12:00
258,53,16,arrived_warehouse,Almaty,Together knowledge because radio.,2026-05-22 15:12:00
259,53,8,departed_warehouse,Petropavl,,2026-05-22 20:12:00
260,53,10,out_for_delivery,Astana,,2026-05-23 14:12:00
261,53,47,delivered,Kostanay,,2026-05-23 19:12:00
262,54,29,created,Almaty,Property remember nearly face feel church.,2023-03-20 07:58:00
263,54,21,picked_up,Almaty,,2023-03-21 06:58:00
264,54,34,arrived_warehouse,Uralsk,,2023-03-22 06:58:00
265,54,37,departed_warehouse,Aktobe,,2023-03-23 08:58:00
266,54,22,out_for_delivery,Aktau,,2023-03-24 08:58:00
267,54,40,delivered,Astana,,2023-03-25 09:58:00
268,55,4,created,Aktau,,2026-06-02 00:15:00
269,55,25,cancelled,Oskemen,,2026-06-02 23:15:00
270,56,42,created,Taraz,,2023-08-22 21:56:00
271,56,24,picked_up,Petropavl,Soldier meeting building cut.,2023-08-23 10:56:00
272,56,30,arrived_warehouse,Pavlodar,,2023-08-23 20:56:00
273,56,39,departed_warehouse,Semey,,2023-08-24 18:56:00
274,56,46,out_for_delivery,Semey,,2023-08-25 08:56:00
275,56,43,delivered,Aktobe,Door management guess occur.,2023-08-26 11:56:00
276,57,18,created,Oskemen,,2023-03-29 03:58:00
277,57,29,picked_up,Uralsk,,2023-03-29 15:58:00
278,57,39,arrived_warehouse,Kostanay,,2023-03-30 07:58:00
279,57,20,departed_warehouse,Petropavl,,2023-03-31 02:58:00
280,57,21,out_for_delivery,Kostanay,,2023-04-01 08:58:00
281,57,41,delivered,Aktobe,,2023-04-02 04:58:00
282,58,16,created,Aktau,,2023-12-23 02:47:00
283,58,45,picked_up,Karaganda,,2023-12-24 06:47:00
284,58,25,out_for_delivery,Oskemen,,2023-12-24 10:47:00
285,58,44,failed_attempt,Pavlodar,,2023-12-25 14:47:00
286,58,1,returned,Kostanay,,2023-12-25 18:47:00
287,59,3,created,Shymkent,,2026-04-15 15:21:00
288,59,4,picked_up,Uralsk,,2026-04-16 13:21:00
289,59,43,arrived_warehouse,Karaganda,,2026-04-17 11:21:00
290,59,36,departed_warehouse,Pavlodar,Sound necessary partner beat finally yourself rest.,2026-04-18 08:21:00
291,59,21,out_for_delivery,Aktau,,2026-04-19 09:21:00
292,59,34,delivered,Astana,,2026-04-19 17:21:00
293,60,43,created,Taraz,,2024-11-01 01:00:00
294,60,44,picked_up,Oskemen,,2024-11-02 07:00:00
295,60,35,arrived_warehouse,Petropavl,,2024-11-02 16:00:00
296,60,50,departed_warehouse,Oskemen,,2024-11-03 18:00:00
297,60,48,out_for_delivery,Taraz,,2024-11-03 23:00:00
298,60,46,delivered,Pavlodar,Improve important offer by first avoid letter.,2024-11-04 16:00:00
299,61,47,created,Taraz,,2025-04-06 12:40:00
300,61,36,cancelled,Petropavl,,2025-04-06 15:40:00
301,62,19,created,Taraz,Story million fight class.,2024-09-15 21:29:00
302,62,13,picked_up,Kostanay,,2024-09-16 03:29:00
303,62,23,out_for_delivery,Shymkent,,2024-09-16 16:29:00
304,62,7,failed_attempt,Karaganda,,2024-09-17 02:29:00
305,62,21,returned,Semey,,2024-09-17 11:29:00
306,63,33,created,Taraz,Ever person pass behavior political option oil.,2024-10-04 12:46:00
307,63,38,picked_up,Oskemen,,2024-10-05 09:46:00
308,63,3,arrived_warehouse,Aktau,,2024-10-05 18:46:00
309,63,31,departed_warehouse,Taraz,,2024-10-06 14:46:00
310,63,26,out_for_delivery,Aktobe,,2024-10-07 04:46:00
311,63,47,delivered,Petropavl,,2024-10-08 01:46:00
312,64,23,created,Semey,,2026-06-08 22:25:00
313,64,1,picked_up,Aktau,,2026-06-09 20:25:00
314,64,11,arrived_warehouse,Aktobe,Probably result painting successful.,2026-06-10 13:25:00
315,64,18,departed_warehouse,Aktobe,,2026-06-11 12:25:00
316,64,24,out_for_delivery,Atyrau,,2026-06-11 20:25:00
317,65,11,created,Kostanay,,2024-02-26 21:39:00
318,65,39,picked_up,Atyrau,American tell ball we side enough decision.,2024-02-27 14:39:00
319,65,25,arrived_warehouse,Shymkent,,2024-02-28 05:39:00
320,65,34,departed_warehouse,Petropavl,,2024-02-28 14:39:00
321,65,27,out_for_delivery,Petropavl,,2024-02-29 14:39:00
322,65,12,delivered,Semey,,2024-02-29 20:39:00
323,66,49,created,Aktobe,,2026-05-15 08:17:00
324,66,36,picked_up,Semey,,2026-05-16 12:17:00
325,66,36,arrived_warehouse,Semey,,2026-05-17 08:17:00
326,66,37,departed_warehouse,Pavlodar,,2026-05-17 20:17:00
327,66,48,out_for_delivery,Shymkent,,2026-05-18 11:17:00
328,66,8,delivered,Kostanay,,2026-05-19 11:17:00
329,67,5,created,Kyzylorda,Father authority art keep machine daughter.,2026-12-09 12:33:00
330,67,47,picked_up,Petropavl,,2026-12-10 00:33:00
331,67,23,arrived_warehouse,Pavlodar,,2026-12-10 21:33:00
332,67,15,departed_warehouse,Atyrau,,2026-12-11 08:33:00
333,67,26,out_for_delivery,Atyrau,Century technology floor write generation human set middle.,2026-12-12 01:33:00
334,67,27,delivered,Aktau,,2026-12-12 09:33:00
335,68,18,created,Shymkent,,2025-06-23 12:20:00
336,68,13,picked_up,Semey,,2025-06-24 12:20:00
337,68,48,arrived_warehouse,Aktobe,,2025-06-24 22:20:00
338,68,15,departed_warehouse,Aktobe,,2025-06-25 07:20:00
339,68,40,out_for_delivery,Pavlodar,,2025-06-26 12:20:00
340,69,32,created,Oskemen,,2026-01-08 23:39:00
341,69,49,picked_up,Pavlodar,,2026-01-10 00:39:00
342,69,18,arrived_warehouse,Semey,,2026-01-10 15:39:00
343,69,37,departed_warehouse,Taraz,,2026-01-10 22:39:00
344,69,47,out_for_delivery,Karaganda,,2026-01-11 04:39:00
345,69,28,delivered,Petropavl,,2026-01-12 00:39:00
346,70,35,created,Shymkent,,2026-07-06 10:36:00
347,70,23,picked_up,Pavlodar,,2026-07-06 22:36:00
348,70,50,arrived_warehouse,Kostanay,,2026-07-07 16:36:00
349,70,25,departed_warehouse,Atyrau,,2026-07-07 21:36:00
350,70,10,out_for_delivery,Petropavl,,2026-07-08 20:36:00
351,70,22,delivered,Oskemen,,2026-07-10 00:36:00
352,71,2,created,Almaty,,2026-08-22 18:08:00
353,71,21,picked_up,Petropavl,,2026-08-24 00:08:00
354,71,35,arrived_warehouse,Kyzylorda,,2026-08-25 06:08:00
355,71,9,departed_warehouse,Kostanay,,2026-08-25 23:08:00
356,71,39,out_for_delivery,Semey,,2026-08-26 20:08:00
357,71,37,delivered,Oskemen,,2026-08-27 19:08:00
358,72,25,created,Aktobe,,2025-01-16 01:45:00
359,72,41,picked_up,Aktobe,,2025-01-16 17:45:00
360,72,40,arrived_warehouse,Uralsk,,2025-01-17 21:45:00
361,72,19,departed_warehouse,Taraz,,2025-01-18 08:45:00
362,72,18,out_for_delivery,Oskemen,,2025-01-19 12:45:00
363,72,12,delivered,Shymkent,,2025-01-19 17:45:00
364,73,7,created,Aktau,,2023-04-09 11:12:00
365,74,35,created,Uralsk,,2026-01-30 09:22:00
366,74,15,picked_up,Pavlodar,,2026-01-31 03:22:00
367,74,42,arrived_warehouse,Uralsk,,2026-02-01 07:22:00
368,74,47,departed_warehouse,Aktobe,Five letter environment easy.,2026-02-02 00:22:00
369,74,23,out_for_delivery,Kostanay,,2026-02-02 15:22:00
370,74,32,delivered,Kostanay,,2026-02-02 19:22:00
371,75,42,created,Petropavl,,2025-08-16 12:12:00
372,75,34,picked_up,Atyrau,,2025-08-17 06:12:00
373,75,4,arrived_warehouse,Pavlodar,,2025-08-17 17:12:00
374,75,5,departed_warehouse,Almaty,,2025-08-18 18:12:00
375,75,42,out_for_delivery,Semey,,2025-08-19 03:12:00
376,75,6,delivered,Semey,,2025-08-20 08:12:00
377,76,37,created,Taraz,,2024-06-21 21:12:00
378,76,48,picked_up,Aktau,,2024-06-22 17:12:00
379,76,50,arrived_warehouse,Taraz,,2024-06-22 23:12:00
380,76,30,departed_warehouse,Kostanay,,2024-06-23 23:12:00
381,76,11,out_for_delivery,Uralsk,,2024-06-24 05:12:00
382,76,33,delivered,Pavlodar,,2024-06-24 20:12:00
383,77,47,created,Astana,,2026-07-15 18:36:00
384,77,31,picked_up,Shymkent,,2026-07-16 22:36:00
385,77,45,arrived_warehouse,Atyrau,,2026-07-17 23:36:00
386,77,39,departed_warehouse,Taraz,,2026-07-18 05:36:00
387,77,37,out_for_delivery,Oskemen,Spend value return couple.,2026-07-19 07:36:00
388,77,50,delivered,Pavlodar,,2026-07-19 11:36:00
389,78,6,created,Aktobe,,2025-02-16 10:48:00
390,78,26,picked_up,Shymkent,,2025-02-17 14:48:00
391,78,31,arrived_warehouse,Atyrau,,2025-02-17 19:48:00
392,78,26,departed_warehouse,Karaganda,Marriage method material final.,2025-02-18 15:48:00
393,78,28,out_for_delivery,Uralsk,,2025-02-19 10:48:00
394,78,9,delivered,Semey,,2025-02-20 13:48:00
395,79,6,created,Astana,,2023-05-24 19:09:00
396,79,40,picked_up,Kyzylorda,,2023-05-25 05:09:00
397,79,19,arrived_warehouse,Almaty,,2023-05-26 10:09:00
398,79,8,departed_warehouse,Karaganda,,2023-05-27 14:09:00
399,79,22,out_for_delivery,Aktobe,,2023-05-27 17:09:00
400,80,5,created,Oskemen,,2023-10-07 15:03:00
401,80,43,picked_up,Pavlodar,,2023-10-08 15:03:00
402,80,19,arrived_warehouse,Petropavl,,2023-10-08 18:03:00
403,80,15,departed_warehouse,Oskemen,,2023-10-09 09:03:00
404,80,7,out_for_delivery,Kyzylorda,,2023-10-10 10:03:00
405,80,39,delivered,Aktau,Bed hotel lead.,2023-10-11 16:03:00
406,81,36,created,Karaganda,,2025-09-25 17:56:00
407,81,26,picked_up,Taraz,,2025-09-26 06:56:00
408,81,25,arrived_warehouse,Aktau,,2025-09-27 08:56:00
409,81,41,departed_warehouse,Taraz,,2025-09-28 06:56:00
410,81,37,out_for_delivery,Shymkent,,2025-09-28 16:56:00
411,81,39,delivered,Pavlodar,,2025-09-29 04:56:00
412,82,41,created,Kyzylorda,,2025-12-02 17:28:00
413,82,50,picked_up,Aktobe,,2025-12-03 00:28:00
414,82,2,arrived_warehouse,Uralsk,,2025-12-03 08:28:00
415,82,18,departed_warehouse,Atyrau,,2025-12-04 06:28:00
416,82,39,out_for_delivery,Aktobe,,2025-12-04 16:28:00
417,82,23,delivered,Astana,,2025-12-04 19:28:00
418,83,40,created,Semey,,2023-10-06 04:04:00
419,83,30,picked_up,Kyzylorda,,2023-10-07 10:04:00
420,83,50,arrived_warehouse,Almaty,,2023-10-08 01:04:00
421,83,25,departed_warehouse,Kostanay,,2023-10-09 06:04:00
422,83,48,out_for_delivery,Atyrau,,2023-10-10 04:04:00
423,83,42,delivered,Kyzylorda,,2023-10-10 23:04:00
424,84,36,created,Oskemen,Democrat good anything manager think.,2023-03-16 07:39:00
425,84,22,picked_up,Atyrau,,2023-03-16 15:39:00
426,84,10,arrived_warehouse,Shymkent,,2023-03-17 21:39:00
